la tête,der Kopf (¨e)
l'œil,das Auge (n)
l'oreille,das Ohr (en)
le nez,die Nase (n)
la bouche,der Mund (¨er)
la main,die Hand (¨e)
le bras,der Arm (e)
la jambe,das Bein (e)
le pied,der Fuß (¨e)
le cœur,das Herz (en)
le ventre,der Bauch (¨e)
la peau,die Haut (¨e)
les cheveux,das Haar (e)
la dent,der Zahn (¨e)
le dos,der Rücken
la taille,die Taille (n)
le cou,der Hals (¨e)
l'estomac,der Magen (¨)
l'intestin,der Darm (¨e)
le poumon,die Lunge (n)
le cerveau,das Gehirn (e)
la voix,die Stimme (n)
le sang,das Blut
la température,die Temperatur (en)
la force,die Kraft (¨e)
l'os,der Knochen
le muscle,der Muskel (n)
l'articulation,das Gelenk (e)
la circulation,die Zirkulation (en)
le nerf,der Nerv (en)
l'ongle,der Nagel (¨)
la cheville,der Knöchel
le poignet,das Handgelenk (e)
l'épaule,die Schulter (n)
la hanche,die Hüfte (n)
l'aisselle,die Achsel (n)
le menton,das Kinn (e)
la joue,die Wange (n)
le sourcil,die Augenbraue (n)
l'arcade sourcilière,der Augenbrauenbogen (¨)
les cils,die Wimpern
la pupille,die Pupille (n)
l'iris,die Iris
le front,die Stirn (en)

