le pain, das Brot (e)
le fromage, der Käse
le lait, die Milch
la viande, das Fleisch
le poisson, der Fisch (e)
les légumes, das Gemüse
les fruits, das Obst 
le riz, der Reis
les pâtes, die Nudeln
la soupe, die Suppe (n)
la salade, der Salat (e)
le dessert, das Dessert (s)
le gâteau, der Kuchen
la confiture, die Marmelade (n)
le miel, der Honig (e)
le sucre, der Zucker
le sel, das Salz (e)
le poivre, der Pfeffer
l'huile, das Öl (e)
le vinaigre, der Essig (e)
la sauce, die Soße (n)
la moutarde, der Senf (e)
le ketchup, der Ketchup (s)
la mayonnaise, die Mayonnaise (n)
la pomme de terre, die Kartoffel (n)
l'ail, der Knoblauch
l'oignon, die Zwiebel (n)
la carotte, die Karotte (n)
le concombre, die Gurke (n)
la tomate, die Tomate (n)
la courgette, die Zucchini
le brocoli, der Brokkoli
l'épice, das Gewürz (e)
la noix, die Nuss (¨e)
les amandes, die Mandel (n)
les noisettes, die Haselnuss (¨e)
le chocolat, die Schokolade (n)
les bonbons, das Bonbon (s)
la glace, das Eis
le café, der Kaffee
le thé, der Tee
l'eau minérale, das Mineralwasser
la boisson rafraichissante, das Erfrischungsgetränk (e)
le jus d'orange, der Orangensaft (¨e)
