l'ami, der Freund (e)
l'amie, die Freundin (nen)
la famille, die Familie (n)
le voisin, der Nachbar (n)
la connaissance, die Bekanntschaft (en)
le partenaire, der Partner (-)
la relation, die Beziehung (en)
le contact, der Kontakt (e)
la communication, die Kommunikation (en)
le soutien, die Unterstützung (en)
l'aide, die Hilfe (n)
la confiance, das Vertrauen
le respect, der Respekt
l'amour, die Liebe
l'affection, die Zuneigung (en)
la dispute, der Streit (e)
la réconciliation, die Versöhnung (en)
l'invitation, die Einladung (en)
le rendez-vous, das Treffen (-)
le dialogue, der Dialog (e)
la conversation, das Gespräch (e)
l'écoute, das Zuhören
le conseil, der Rat (kein Pl.)
la compréhension, das Verständnis
le désaccord, die Meinungsverschiedenheit (en)
l'empathie, die Empathie 
l'honnêteté, die Ehrlichkeit 
la gentillesse, die Freundlichkeit 
le respect mutuel, der gegenseitige Respekt
s'entendre bien, sich gut verstehen
aider, helfen
écouter, zuhören
parler, sprechen
discuter, diskutieren
comprendre, verstehen
respecter, respektieren
faire confiance à quelqu'un, jemandem vertrauen
s'excuser, sich entschuldigen
partager, teilen
aimer quelqu'un, jemanden lieben
